date,open,high,low,close,volume
3/26/2009,82.25,83.3,81.32,83.11,421528400
3/27/2009,82.05,82.53,81.31,81.61,319721000
3/30/2009,79.8,79.87,77.96,78.79,323870500
3/31/2009,79.56,81.08,79.05,79.52,362533100
4/1/2009,78.53,81.42,78.33,81.06,376598800
4/2/2009,83.08,84.61,81.1296,83.43,475980100
4/3/2009,83.49,84.28,82.67,84.26,284492900
4/6/2009,83.34,84.2747,82.29,83.6,264712900
4/7/2009,82.25,82.65,81.51,81.65,258894500
4/8/2009,82.06,82.94,81.54,82.53,230082500
4/9/2009,84.67,85.82,84.33,85.81,269505000
4/13/2009,84.92,86.54,84.58,85.83,224708700
4/14/2009,85.03,85.76,84.08,84.35,276057700
4/15/2009,83.84,85.42,83.61,85.25,250500300
4/16/2009,85.93,87.15,84.77,86.5,335001800
4/17/2009,86.83,87.65,86.14,87.08,258522800
4/20/2009,85.54,87.0489,83.34,83.43,293430700
4/21/2009,82.82,85.13,82.75,85.06,300230900
4/22/2009,84.29,86.34,84.07,84.54,341145700
4/23/2009,84.71,85.42,83.63,85.37,319572400
4/24/2009,86.03,87.31,85.69,86.66,287604200
4/27/2009,85.68,87.01,85.54,85.84,289491900
4/28/2009,84.97,86.59,84.76,85.57,247528400
4/29/2009,86.52,88.36,86.3,87.39,311269600
4/30/2009,88.55,89.02,86.92,87.42,301054900
5/1/2009,87.44,88.21,86.72,87.89,235618800
5/4/2009,88.55,90.94,88.38,90.88,286443500
5/5/2009,90.57,90.93,89.84,90.57,242915500
5/6/2009,91.68,92.2,90.61,92.141,291256300
5/7/2009,93.01,93.15,90.28,90.86,317296300
5/8/2009,92.03,93.22,90.911,92.98,299006300
5/11/2009,91.7,92.11,91.04,91.24,247542200
5/12/2009,91.63,91.83,89.85,90.97,282172000
5/13/2009,89.74,90.01,88.5,88.68,269312300
5/14/2009,88.72,90.12,88.5,89.44,259817600
5/15/2009,89.37,90,88.15,88.71,271434900
5/18/2009,89.55,91.34,88.5702,91.23,241366600
5/19/2009,91.18,91.97,90.81,91.12,205693300
5/20/2009,91.95,92.8,90.41,90.51,285345200
5/21/2009,89.46,89.8,88.26,89.21,258399500
5/22/2009,89.46,90,88.68,89.02,166715100
5/26/2009,88.36,91.56,88.32,91.3,236155900
5/27/2009,91.44,91.75,89.53,89.67,245960700
5/28/2009,90.46,91.34,89.1,90.92,289003100
5/29/2009,91.42,93.7,90.68,92.53,258258000
6/1/2009,93.67,95.17,93.43,94.77,276099500
6/2/2009,94.4,95.37,87.53,94.85,230349800
6/3/2009,94.04,94.13,92.76,93.65,235273100
6/4/2009,94,94.67,93.3,94.53,209742800
6/5/2009,95.49,95.67,93.8,94.55,284191200
6/8/2009,93.84,95.1,93.04,94.16,238468700
6/9/2009,94.69,95.145,94.02,94.64,224906100
6/10/2009,95.48,95.49,93.19,94.4,295597300
6/11/2009,94.58,96.11,94.56,94.82,274230400
6/12/2009,94.4,95.14,94,95.08,184346500
6/15/2009,93.96,94.02,92.4,92.9,224098900
6/16/2009,93.23,93.29,91.58,91.64,226966200
6/17/2009,91.6,92.33,90.83,91.55,223351100
6/18/2009,91.69,92.67,91.25,92.219,211345100
6/19/2009,92.58,92.7,91.52,92.04,213279800
6/22/2009,91.14,91.19,89.25,89.28,247203700
6/23/2009,89.47,89.88,88.85,89.35,188081900
6/24/2009,90.16,91.08,89.6,90.118,211484500
6/25/2009,89.67,92.17,89.57,92.08,278994000
6/26/2009,91.77,92.24,91.27,91.84,167514900
6/29/2009,92.11,92.82,91.6,92.7,168354800
6/30/2009,92.72,93.06,91.27,91.95,228763900
7/1/2009,92.34,93.23,92.21,92.33,172930700
7/2/2009,91.13,92.3624,89.76,89.81,212100800
7/6/2009,88.94,89.93,88.66,89.8,170497400
7/7/2009,89.71,89.82,88,88.06,198431900
7/8/2009,88.59,88.8,87,88,247835800
7/9/2009,88.61,88.9,87.91,88.17,163715000
7/10/2009,87.7,88.49,87.35,87.96,173364200
7/13/2009,88.31,90.17,87.59,90.102,216764400
7/14/2009,90.38,90.69,89.73,90.61,181176400
7/15/2009,91.81,93.51,90.6795,93.26,219797600
7/16/2009,93,94.51,92.82,93.11,231074900
7/17/2009,94.06,94.32,93.54,94.13,138442800
7/20/2009,94.68,95.29,94.19,95.131,164038800
7/21/2009,95.87,95.9,94.42,95.57,217310000
7/22/2009,94.96,96.13,94.89,95.55,195906600
7/23/2009,95.61,98.08,95.53,97.661,258236200
7/24/2009,97.2,98.14,96.69,98.06,153733300
7/27/2009,97.88,98.4,97.34,98.35,158899700
7/28/2009,97.66,98.37,97.06,97.89,186422400
7/29/2009,97.44,98.088,96.98,97.652,194216200
7/30/2009,98.83,99.83,98.6,98.67,225340200
7/31/2009,98.65,99.47,98.38,98.81,207289600
8/3/2009,99.85,100.53,99.31,100.44,175319400
8/4/2009,99.99,100.84,99.78,100.7,176566200
8/5/2009,100.77,100.855,99.58,100.41,184253100
8/6/2009,100.87,101.02,99.42,99.89,193030700
8/7/2009,100.94,102.03,100.39,101.202,220578000
8/10/2009,100.74,101.22,100.27,100.99,130676800
8/11/2009,100.54,100.61,99.46,99.73,157225900
8/12/2009,99.56,101.56,99.51,100.8,218707400
8/13/2009,101.26,101.61,100.26,101.57,176343600
8/14/2009,101.52,101.6,99.7,100.79,199574400
8/17/2009,98.85,98.95,98.115,98.31,237584200
8/18/2009,98.53,99.44,98.35,99.09,173385600
8/19/2009,98.31,100.3,98.21,99.96,192202200
8/20/2009,100.09,101.22,99.87,100.99,173902500
8/21/2009,101.82,103.13,101.62,102.97,224426700
8/24/2009,103.39,103.95,102.59,102.96,190984100
8/25/2009,103.37,104.26,102.94,103.16,214733900
8/26/2009,102.84,103.64,102.49,103.17,194107500
8/27/2009,103.11,103.72,101.94,103.4,195812500
8/28/2009,104.23,104.35,102.67,103.38,146958500
8/31/2009,102.37,102.58,101.79,102.46,175906700
9/1/2009,101.95,103.24,99.99,100.2,321103400
9/2/2009,99.78,100.44,99.57,99.82,171505900
9/3/2009,100.4,100.77,99.59,100.65,143299600
9/4/2009,100.85,102.09,100.55,102.06,142577900
9/8/2009,103,103.05,102.39,102.94,132760800
9/9/2009,103.12,104.08,102.8,103.73,154405300
9/10/2009,103.8,104.86,103.22,104.79,162723300
9/11/2009,104.99,105.3,104.28,104.77,152247000
9/14/2009,103.88,105.46,103.15,105.28,149466700
9/15/2009,105.45,106.11,104.76,105.72,196614900
9/16/2009,106.1,107.34,105.7288,107.32,205927200
9/17/2009,107.17,108.06,106.57,107.16,227264900
9/18/2009,107.15,107.16,106.36,106.72,153708000
9/21/2009,105.89,107,105.66,106.45,151762900
9/22/2009,107.08,107.37,106.6,107.07,142636200
9/23/2009,107.32,108.03,105.99,106.18,225745100
9/24/2009,106.41,106.64,104.55,105.01,228477500
9/25/2009,104.78,105.36,104.09,104.45,204009000
9/28/2009,104.85,106.55,104.83,106.32,118149800
9/29/2009,106.51,107.02,105.78,106,133480900
9/30/2009,106.36,106.46,104.62,105.59,253976300
10/1/2009,105.34,105.7331,102.95,103,280556000
10/2/2009,102.02,103.1,101.99,102.49,224619100
10/5/2009,102.9,104.32,102.6,104.02,149779400
10/6/2009,104.77,106.11,104.71,105.51,202423200
10/7/2009,105.27,105.91,105.07,105.8,158901900
10/8/2009,106.55,107.17,105.8449,106.61,183096400
10/9/2009,106.64,107.26,106.36,107.26,134960100
10/12/2009,107.76,108.09,107.28,107.68,117859000
10/13/2009,107.39,107.7132,106.76,107.46,157297800
10/14/2009,108.72,109.42,107.4174,109.31,191312300
10/15/2009,108.78,109.71,108.73,109.71,173759800
10/16/2009,108.8,109.27,108.23,108.89,191968600
10/19/2009,109.07,110.13,108.73,109.79,159301500
10/20/2009,109.95,109.985,108.68,109.211,180806300
10/21/2009,109.04,110.31,108.15,108.23,225245200
10/22/2009,108.19,109.68,107.5,109.33,237166400
10/23/2009,109.69,109.76,107.63,108.08,239912100
10/26/2009,108.2,109.31,106.61,106.91,241602500
10/27/2009,107.03,107.39,106.16,106.42,252480700
10/28/2009,106.15,106.4783,104.35,104.41,247467700
10/29/2009,105.19,106.86,104.94,106.65,197945100
10/30/2009,106.3,106.62,103.44,103.56,325473400
11/2/2009,104.13,105.41,103.08,104.32,254115800
11/3/2009,103.74,104.8,103.54,104.65,227284800
11/4/2009,105.51,106.33,104.65,104.92,247415400
11/5/2009,105.66,106.88,105.44,106.8501,179750000
11/6/2009,106.26,107.4,106.05,107.13,170894100
11/9/2009,107.95,109.63,107.87,109.57,159144500
11/10/2009,109.31,109.93,108.97,109.59,171621000
11/11/2009,110.31,110.82,109.62,110.15,169196100
11/12/2009,110,110.57,108.75,109.03,157033600
11/13/2009,109.31,110.09,108.75,109.62,150929300
11/16/2009,110.38,111.69,110.32,111.21,209541600
11/17/2009,110.92,111.39,110.5,111.339,146868500
11/18/2009,111.26,111.43,110.57,111.27,156287400
11/19/2009,110.51,111.3059,109.13,109.82,208636800
11/20/2009,109.25,109.76,109.01,109.43,134150100
11/23/2009,110.72,111.74,110.6,110.82,147833400
11/24/2009,111,111.2022,110.01,110.99,138282200
11/25/2009,111.17,111.5,110.82,111.38,109466100
11/27/2009,108.4,110.32,108.29,109.57,126001800
11/30/2009,109.48,110.2,108.12,109.94,160641000
12/1/2009,110.92,111.66,110.73,111.3,159513500
12/2/2009,111.28,112.01,110.92,111.25,131400700
12/3/2009,111.55,112.18,110.29,110.38,166891400
12/4/2009,111.84,112.38,110.04,111.01,274866000
12/7/2009,110.91,111.53,110.49,110.84,127748100
12/8/2009,110.04,110.7725,109.27,109.61,169682100
12/9/2009,109.58,110.18,109.02,110.021,154955200
12/10/2009,110.7,111.12,110.45,110.64,137953200
12/11/2009,111.11,111.36,110.61,111.11,124787000
12/14/2009,111.87,112,105.476,111.87,106648400
12/15/2009,111.46,111.92,111,111.35,120346500
12/16/2009,111.8,112.13,111.27,111.52,154997000
12/17/2009,110.72,110.93,110.08,110.18,183230200
12/18/2009,110.2,110.3,109.28,110.21,172357900
12/21/2009,110.76,111.7,110.76,111.33,117938000
12/22/2009,111.57,111.97,111.425,111.73,91645530
12/23/2009,112,112.11,111.5,111.95,111734000
12/24/2009,112.19,112.6,111.9948,112.48,39677470
12/28/2009,112.9,112.99,112.32,112.72,87373660
12/29/2009,113.01,113.03,112.55,112.562,80503280
12/30/2009,112.23,112.65,112.17,112.52,72944850
12/31/2009,112.77,112.8,111.39,111.44,90091230
1/4/2010,112.37,113.39,111.51,113.33,118851200
1/5/2010,113.26,113.68,112.85,113.63,111492400
1/6/2010,113.52,113.99,113.43,113.71,116001900
1/7/2010,113.5,114.33,113.18,114.19,130497000
1/8/2010,113.89,114.62,113.66,114.57,126268300
1/11/2010,115.08,115.13,114.235,114.73,105811800
1/12/2010,113.97,114.21,113.22,113.66,166485200
1/13/2010,113.95,114.94,113.37,114.62,161722400
1/14/2010,114.49,115.14,114.42,114.93,115606800
1/15/2010,114.73,114.84,113.2,113.64,212091500
1/19/2010,113.62,115.13,113.59,115.06,138628400
1/20/2010,114.28,114.45,112.98,113.89,216265600
1/21/2010,113.92,114.27,111.56,111.7,342731900
1/22/2010,111.2,111.7416,109.09,109.21,345327900
1/25/2010,110.21,110.41,109.41,109.77,186679800
1/26/2010,109.34,110.47,109.04,109.31,210551500
1/27/2010,109.17,110.08,108.33,109.83,271473300
1/28/2010,110.19,110.25,107.91,108.57,315478800
1/29/2010,109.04,109.8,107.22,107.39,310371900
2/1/2010,108.15,109.07,107.5008,109.06,187326700
2/2/2010,109.26,110.59,108.88,110.38,216191100
2/3/2010,109.88,110.4815,109.51,109.83,172501600
2/4/2010,108.98,109.03,106.42,106.44,355839900
2/5/2010,106.56,106.88,104.58,106.66,493465700
2/8/2010,106.74,107.33,105.8099,105.89,223906900
2/9/2010,107.13,108.15,106.27,107.22,337683600
2/10/2010,107.05,107.6,106.11,107.01,240309700
2/11/2010,106.87,108.25,106.25,108.13,223328000
2/12/2010,106.99,108.1012,106.51,108.04,304188900
2/16/2010,108.86,109.85,107.821,109.74,159023700
2/17/2010,110.27,110.41,109.74,110.26,168582500
2/18/2010,110.08,111.14,110.035,110.91,192670600
2/19/2010,110.62,111.57,110.36,111.14,215383900
2/22/2010,111.55,111.58,110.83,111.16,132094900
2/23/2010,110.86,111.2,109.52,109.81,205757700
2/24/2010,110.14,111,109.86,110.82,175741500
2/25/2010,109.24,110.75,108.94,110.67,258973200
2/26/2010,110.77,111.12,110.11,110.74,173335700
3/1/2010,111.2,112,111.17,111.89,147491700
3/2/2010,112.37,112.74,112,112.2,160899700
3/3/2010,112.49,112.97,112.02,112.3,150523700
3/4/2010,112.45,112.8,112.03,112.641,135516000
3/5/2010,113.37,114.34,113.1,114.25,176038600
3/8/2010,114.26,114.52,114.07,114.27,114509000
3/9/2010,113.93,114.99,113.87,114.46,154340600
3/10/2010,114.51,115.275,114.41,114.97,185839000
3/11/2010,114.7,115.48,114.35,115.45,160377000
3/12/2010,115.95,115.97,115.14,115.46,161859700
3/15/2010,115.26,115.575,114.6,115.49,146525400
3/16/2010,115.81,116.52,115.49,116.41,168533300
3/17/2010,116.76,117.48,116.4198,117.1,177130700
3/18/2010,117.11,117.27,116.57,117.0375,196293000
3/19/2010,116.96,117.293,115.52,115.97,225478300
3/22/2010,115.31,116.8,115.24,116.5925,184070400
3/23/2010,116.76,117.51,116.38,117.41,182598300
3/24/2010,116.97,117.4264,115.58,116.84,191154700
3/25/2010,117.63,118.1666,116.51,116.65,222757400
3/26/2010,116.87,117.42,116.12,116.582,205608400
3/29/2010,117.1699,117.53,116.6886,117.32,134244600
3/30/2010,117.46,117.83,116.91,117.4,145679900
3/31/2010,116.95,117.52,116.61,117,160870200
4/1/2010,117.8,118.25,117.1,117.8,161056900
4/5/2010,118.25,118.84,117.92,118.76,105614000
4/6/2010,118.42,119.25,118.29,119.04,110182400
4/7/2010,118.8,119.3567,117.81,118.36,184416600
4/8/2010,117.95,118.97,117.6,118.7725,158465200
4/9/2010,119.02,119.6,118.8,119.55,132635100
4/12/2010,119.7,120.05,119.56,119.74,110188000
4/13/2010,119.62,120.04,119,119.83,124954500
4/14/2010,120.27,121.19,120.08,121.19,160140900
4/15/2010,120.99,121.5654,120.95,121.29,144448700
4/16/2010,120.86,121.285,118.75,119.36,364325500
4/19/2010,119.01,119.93,118.47,119.81,217574200
4/20/2010,120.56,120.98,119.871,120.88,157442600
4/21/2010,120.95,121.23,119.99,120.66,192774000
4/22/2010,119.81,121.17,119.12,121.02,239011900
4/23/2010,120.94,121.86,120.63,121.8125,177208400
4/26/2010,121.85,122.12,121.23,121.35,143312400
4/27/2010,120.65,121.3346,118.25,118.48,354853700
4/28/2010,119.05,119.68,118.27,119.38,300484300
4/29/2010,120.1,121.11,120.07,120.8575,193616000
4/30/2010,120.88,121.01,118.78,118.8125,269823100
5/3/2010,119.38,120.68,119.2,120.35,182589100
5/4/2010,119.01,119.03,116.92,117.52,359946000
5/5/2010,116.56,117.8,115.97,116.82,328918100
5/6/2010,116.26,117,105,112.942,636110600
5/7/2010,112.64,113.77,109.41,111.26,636646500
5/10/2010,115.81,116.65,114.91,116.16,395889300
5/11/2010,115.07,117.36,114.91,115.83,314167300
5/12/2010,116.29,117.62,116.09,117.45,235276200
5/13/2010,117.13,117.68,115.89,115.99,234274000
5/14/2010,115.12,115.33,112.87,113.89,345411800
5/17/2010,114.2,114.52,111.77,113.95,325675700
5/18/2010,114.88,115.22,112.03,112.4,359962000
5/19/2010,111.77,112.77,110.36,111.76,394299200
5/20/2010,109.38,109.89,107.47,107.54,526825300
5/21/2010,105.91,109.38,105.3612,109.115,500570100
5/24/2010,108.52,109.39,107.61,107.71,268944400
5/25/2010,105.11,107.87,104.38,107.818,395592100
5/26/2010,108.48,109.47,106.85,107.17,348589200
5/27/2010,109.19,110.8,108.7801,110.76,300322900
5/28/2010,110.64,110.724,108.85,109.369,297247700
6/1/2010,108.35,109.95,107.37,107.53,277218100
6/2/2010,108.08,110.34,107.5091,110.33,239971300
6/3/2010,110.65,111.06,109.58,110.71,226433600
6/4/2010,108.61,109.33,106.465,106.82,395144300
6/7/2010,107.2,107.61,105.41,105.49,264297100
6/8/2010,105.57,106.83,104.65,106.62,357464300
6/9/2010,107.24,108.28,105.6,106.05,267733000
6/10/2010,107.86,109.28,106.0426,109.15,317628700
6/11/2010,108.19,109.75,108.12,109.68,215029800
6/14/2010,110.52,111.12,109.4,109.509,206915100
6/15/2010,110.28,112.1,110.09,112,237627200
6/16/2010,111.42,112.42,111.2,111.96,216047200
6/17/2010,112.28,112.33,111.05,112.14,263023200
6/18/2010,111.83,112.13,111.37,111.729,173745700
6/21/2010,113.12,113.2,110.79,111.41,212533600
6/22/2010,111.41,111.9,109.41,109.57,238681300
6/23/2010,109.64,110.03,108.48,109.23,254488900
6/24/2010,108.69,108.83,107.14,107.42,265929500
6/25/2010,107.74,108.42,106.77,107.8675,237589600
6/28/2010,108.03,108.32,107.14,107.53,168860700
6/29/2010,106.02,107.5114,103.55,104.21,373112900
6/30/2010,103.92,104.88,102.88,103.22,283142200
7/1/2010,103.15,103.49,101.13,102.76,382583100
7/2/2010,103.11,103.42,101.62,102.2,233248900
7/6/2010,103.64,104.37,101.88,102.87,255745000
7/7/2010,103.13,106.24,103.02,106.1075,253408900
7/8/2010,107,107.28,105.91,107.16,210591300
7/9/2010,107.13,107.97,106.93,107.96,144916800
7/12/2010,107.6,108.24,107.15,108.03,130931500
7/13/2010,109.15,110.09,108.93,109.66,212458800
7/14/2010,109.31,110.08,108.86,109.651,184293000
7/15/2010,109.61,110.06,108.17,109.68,231540900
7/16/2010,109.09,109.2059,106.45,106.66,282573200
7/19/2010,107.05,107.63,106.22,107.29,186368900
7/20/2010,105.87,108.56,105.82,108.48,257757300
7/21/2010,109.04,109.07,106.63,107.07,264321600
7/22/2010,108.34,109.94,108.33,109.461,274415000
7/23/2010,109.24,110.57,108.93,110.41,221870000
7/26/2010,110.6,111.67,110.29,111.56,181958600
7/27/2010,112.17,112.29,111.11,111.55,204763900
7/28/2010,111.32,111.66,110.46,110.83,162865200
7/29/2010,111.52,111.82,109.41,110.29,219964300
7/30/2010,109.17,110.86,108.98,110.27,219876800
8/2/2010,111.99,112.94,111.54,112.76,188026000
8/3/2010,112.48,112.77,111.85,112.22,146423500
8/4/2010,112.53,113.11,112.16,112.97,157967500
8/5/2010,112.25,112.91,112.08,112.85,140340000
8/6/2010,111.74,112.57,110.92,112.392,239586600
8/9/2010,112.92,113.18,112.32,112.992,120456100
8/10/2010,112.03,112.98,111.3701,112.375,242664600
8/11/2010,110.65,110.69,109.12,109.3,272663700
8/12/2010,107.65,109.02,107.6,108.63,236334600
8/13/2010,108.29,108.96,108.18,108.31,158339200
8/16/2010,107.57,108.61,107.18,108.26,147537200
8/17/2010,109.19,110.39,108.88,109.59,172087000
8/18/2010,109.54,110.38,108.91,109.79,182478900
8/19/2010,109.22,109.49,107.43,107.88,265709800
8/20/2010,107.56,107.9376,106.7499,107.53,209498100
8/23/2010,108.04,108.57,107.07,107.1236,161068800
8/24/2010,105.95,106.39,104.97,105.53,280519100
8/25/2010,104.95,106.34,104.29,105.94,272157000
8/26/2010,106.44,106.58,104.88,105.23,224185700
8/27/2010,105.89,106.97,104.31,106.86,272099400
8/30/2010,106.58,106.91,105.3,105.311,166857500
8/31/2010,104.92,105.98,104.49,105.31,273525800
9/1/2010,106.73,108.61,106.66,108.46,267543800
9/2/2010,108.72,109.49,108.49,109.47,155829400
9/3/2010,110.54,110.99,109.95,110.89,212121100
9/7/2010,110.37,110.51,109.55,109.64,141799300
9/8/2010,109.86,110.85,109.81,110.41,149873000
9/9/2010,111.65,111.68,110.62,110.92,146900200
9/10/2010,111.12,111.61,110.87,111.482,127747900
9/13/2010,112.58,112.95,112.13,112.72,177802300
9/14/2010,112.5,113.29,112.08,112.65,209286800
9/15/2010,112.32,113.21,111.98,113.08,168316200
9/16/2010,112.73,113.12,112.35,113.05,199753300
9/17/2010,113.04,113.15,112.18,112.49,195698600
9/20/2010,112.88,114.46,112.5216,114.21,214498800
9/21/2010,114.3,114.84,113.51,113.98,268328100
9/22/2010,113.8,114.44,113.1,113.42,191143900
9/23/2010,112.49,113.67,112.18,112.498,202101500
9/24/2010,113.75,114.9,113.65,114.82,210573700
9/27/2010,114.86,114.99,114.16,114.27,128488300
9/28/2010,114.42,115.04,113.18,114.67,208106400
9/29/2010,114.38,114.91,114.02,114.47,179530000
9/30/2010,115.05,115.79,113.59,114.13,286889400
10/1/2010,114.99,115.12,113.93,114.61,174380700
10/4/2010,114.37,114.85,113.18,113.75,165925700
10/5/2010,114.8,116.32,114.67,116.04,228110800
10/6/2010,116.02,116.33,115.56,116.03,148499300
10/7/2010,116.5,116.53,115.19,115.89,164623200
10/8/2010,116.05,116.86,115.61,116.5375,177492800
10/11/2010,116.72,116.97,116.25,116.65,102914300
10/12/2010,116.27,117.35,115.65,117.01,181682500
10/13/2010,117.66,118.55,117.38,117.92,193851400
10/14/2010,117.81,118.01,116.72,117.46,217276800
10/15/2010,118.28,118.35,116.76,117.7,243456600
10/18/2010,117.74,118.67,117.31,118.28,140792500
10/19/2010,117.19,117.85,116.02,116.73,280250900
10/20/2010,116.94,118.44,116.87,117.87,199762000
10/21/2010,118.4,119.09,117.21,118.13,221312900
10/22/2010,118.31,118.53,118,118.347,108114500
10/25/2010,119.14,119.76,118.61,118.7,150835600
10/26/2010,118.1,118.84,117.87,118.72,158855800
10/27/2010,117.89,118.51,117.26,118.38,189804700
10/28/2010,119.06,119.11,117.83,118.4,168278100
10/29/2010,118.28,118.72,118.07,118.49,144155000
11/1/2010,119.07,119.75,117.85,118.53,173725700
11/2/2010,119.42,119.75,119.1,119.475,157895200
11/3/2010,119.675,120.02,118.45,119.95,226366000
11/4/2010,121.28,122.32,119.9724,122.26,214528700
11/5/2010,122.34,122.92,122.18,122.725,180526500
11/8/2010,122.34,122.69,121.94,122.49,155514800
11/9/2010,122.82,122.95,121.12,121.61,185953700
11/10/2010,121.58,122.16,120.66,122.1,220414000
11/11/2010,121.05,121.82,120.68,121.635,157645500
11/12/2010,120.82,121.35,119.65,120.198,238913300
11/15/2010,120.58,121.05,119.98,120.03,163377400
11/16/2010,119.29,119.49,117.59,118.16,299394500
11/17/2010,118.21,118.71,117.86,118.218,171985000
11/18/2010,119.36,120.39,119.35,119.9575,197299300
11/19/2010,119.9,120.34,119.25,120.29,156794700
11/22/2010,119.69,120.24,118.77,120.19,181343000
11/23/2010,118.77,119.015,117.99,118.4475,221836300
11/24/2010,119.2,120.23,119.18,120.2,140008200
11/26/2010,119.16,119.81,118.8,118.8,76007700
11/29/2010,118.5,119.48,117.74,119.162,223428800
11/30/2010,117.98,119.17,117.81,118.4925,233572700
12/1/2010,120.2,121.24,120.19,121.01,220794000
12/2/2010,121.2,122.65,121.13,122.56,190948100
12/3/2010,122.14,123.03,122.11,122.89,151213400
12/6/2010,122.63,123.04,122.5,122.76,101753800
12/7/2010,123.94,124.01,122.76,122.83,206179600
12/8/2010,122.98,123.38,122.41,123.28,137704500
12/9/2010,123.97,124.02,123.15,123.76,123112300
12/10/2010,124.14,124.6,123.73,124.48,117409300
12/13/2010,125.05,125.2,124.52,124.56,133592500
12/14/2010,124.75,125.23,124.29,124.67,146992200
12/15/2010,124.44,124.93,123.89,124.098,159319300
12/16/2010,124.18,124.91,123.75,124.82,178402100
12/17/2010,124.08,124.46,123.82,124.3,140557000
12/20/2010,124.64,124.9,123.98,124.6,118795400
12/21/2010,124.99,125.47,124.87,125.39,94816960
12/22/2010,125.48,125.82,125.41,125.78,78811740
12/23/2010,125.64,125.78,125.29,125.6,70050250
12/27/2010,125.13,125.77,125.04,125.65,58059910
12/28/2010,125.9,125.95,125.5,125.83,55256460
12/29/2010,125.98,126.2,125.9,125.92,57959510
12/30/2010,125.8,126.13,125.53,125.72,76585180
12/31/2010,125.53,125.87,125.33,125.75,91196460
1/3/2011,126.71,127.6,125.6969,127.05,138477500
1/4/2011,127.33,127.37,126.19,126.98,137160400
1/5/2011,126.58,127.725,126.46,127.64,133827900
1/6/2011,127.69,127.83,127.01,127.39,122386600
1/7/2011,127.56,127.77,126.15,127.14,155950000
1/10/2011,126.58,127.16,126.2,126.98,122187700
1/11/2011,127.44,127.74,126.95,127.43,110121300
1/12/2011,128.21,128.72,127.4621,128.58,107330200
1/13/2011,128.63,128.69,128.05,128.3675,128943400
1/14/2011,128.19,129.33,128.1,129.3,117553100
1/18/2011,129.18,129.64,129.03,129.52,114223100
1/19/2011,129.41,129.5357,127.91,128.25,151490400
1/20/2011,127.96,128.4,127.13,128.08,175493400
1/21/2011,128.88,129.17,128.23,128.37,151309000
1/24/2011,128.285,129.25,128.26,129.1,113613100
1/25/2011,128.76,129.28,128.11,129.17,167352500
1/26/2011,129.49,130.05,129.23,129.67,141101900
1/27/2011,129.7,130.21,129.47,129.99,123184500
1/28/2011,130.14,130.35,127.51,127.72,295344900
1/31/2011,128.07,128.78,127.75,128.68,149034400
2/1/2011,129.46,130.97,129.3801,130.74,166860100
2/2/2011,130.4,130.84,130.33,130.485,117607900
2/3/2011,130.26,130.98,129.57,130.78,145645700
2/4/2011,130.83,131.2,130.23,131.15,134477500
2/7/2011,131.44,132.4,131.43,131.97,112263800
2/8/2011,132.09,132.64,131.73,132.57,98754150
2/9/2011,132.21,132.63,131.61,132.269,146252300
2/10/2011,131.6,132.47,131.3,132.321,162453800
